geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US37118,"37118",1234,421,1234,421,1234,421,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37122,"37122",58323,1284,56352,1305,50108,1320,3504,556,192,99,1317,332,27,40,219,290,985,247,61,62,924,246,1971,452,1392,339,0,29,51,58,0,29,0,29,479,280,49,53,49,53,0,29
86000US37127,"37127",18300,1345,17493,1350,14202,1071,2070,532,26,59,691,363,0,19,0,19,504,268,44,69,460,255,807,337,520,254,126,142,20,30,0,19,0,19,141,137,0,19,0,19,0,19
86000US37128,"37128",54317,2039,52251,2061,38987,1793,7751,1202,23,39,2843,523,0,29,75,65,2572,645,0,29,2572,645,2066,387,1318,330,186,230,0,29,8,13,0,29,330,216,224,147,77,78,147,126
86000US37129,"37129",60540,2049,57502,2013,47503,1703,6904,1142,177,172,1645,561,7,13,6,12,1260,390,10,17,1250,391,3038,675,2243,593,16,20,17,28,80,92,0,29,667,404,15,25,15,25,0,29
86000US37130,"37130",57002,1724,51542,1720,35930,1547,12222,1045,110,161,1291,322,0,29,86,97,1903,460,221,208,1682,433,5460,938,4473,916,271,174,0,29,38,41,0,29,578,282,100,68,25,41,75,62
86000US37132,"37132",2383,328,2297,316,1230,200,863,159,5,10,95,99,0,12,0,12,104,57,0,12,104,57,86,51,59,43,23,27,0,12,0,12,0,12,2,6,2,4,0,12,2,4
86000US37135,"37135",14256,894,13634,901,11335,799,1372,448,15,24,491,171,48,46,9,16,364,161,0,19,364,161,622,224,517,233,0,19,0,19,0,19,0,19,54,45,51,79,26,39,25,39
86000US37138,"37138",23784,1002,21991,924,19075,983,1999,445,7,20,172,108,0,23,0,23,738,366,15,24,723,364,1793,684,1563,690,0,23,0,23,0,23,0,23,230,215,0,23,0,23,0,23
86000US37141,"37141",1204,215,1164,218,1046,203,106,60,1,4,0,12,0,12,0,12,11,13,0,12,11,13,40,50,38,50,2,5,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37143,"37143",4167,425,4119,425,3991,418,109,101,0,12,19,28,0,12,0,12,0,12,0,12,0,12,48,41,31,33,0,12,0,12,0,12,0,12,17,22,0,12,0,12,0,12
